"id","summary","details","client_id","client_name","site_id","site_name","tickettype_id","tickettype","status_id","status","outcome","priority","category_1","category_2","category_3","category_4","dateoccurred","datecleared","agent_id","agent_name","user_id","user_name","source"
"77145","[NLT-PC-PW0GT345.nlta.local] Backup status is unknown","The protection agent was offline when a backup was scheduled to start. The backup status of this workload will stay unknown until the protection agent goes back online. Ensure that the machine with the agent is powered on and can connect to the Internet. Time: 2026-04-12T23:51:06Z Plan name: NLT Laptop (Brad Price) Machine name: NLT-PC-PW0GT345.nlta.local Support link: https://kb.acronis.com/errorcode?language=en-US&ser=BackupStatusUnknown","134","NLT Digital Solutions","180","NLT Digital Solutions - Caboolture","21",,"1",,,"1","Account Administration","","","","2026-04-12T23:51:37.84",,"1","Unassigned","478","General User","3"
"77144","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-12T22:55:59Z to 2026-04-12T22:55:59Z - MODERATE/MEDIUM","Device display name: BWP-5CD450HRXW (Finnegan R)Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-12T22:55:59Z to 2026-04-12T22:55:59Z","61","Silverstone Developments","85","Silverstone - Newstead","34",,"1",,,"3","","Resolved By Third Party","","","2026-04-12T22:56:45.313",,"1","Unassigned","1750","Finnegan Richmond","-9"
"77143","Device display name: BWP-5CD450HRXW (Finnegan R) - Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 5% for 15 minutes, start alerting after 10 minutes Exclude recovery volume for window device(s) Exclude removable disk fo","Device display name: BWP-5CD450HRXW (Finnegan R)Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 5% for 15 minutes, start alerting after 10 minutes Exclude recovery volume for window device(s) Exclude removable disk for window device(s)","61","Silverstone Developments","85","Silverstone - Newstead","34",,"9",,,"3","","Resolved By Third Party","","","2026-04-12T22:56:45.313","2026-04-12T22:57:01.127","1","Unassigned","1750","Finnegan Richmond","-9"
"77142","Device display name: BWP-5CD450HRXW (Finnegan R) - Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 5% for 15 minutes, start alerting after 10 minutes Exclude recovery volume for window device(s) Exclude removable disk fo","Device display name: BWP-5CD450HRXW (Finnegan R)Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 5% for 15 minutes, start alerting after 10 minutes Exclude recovery volume for window device(s) Exclude removable disk for window device(s)","61","Silverstone Developments","85","Silverstone - Newstead","34",,"9",,,"3","","Resolved By Third Party","","","2026-04-12T21:18:33.763","2026-04-12T21:18:48.533","1","Unassigned","1750","Finnegan Richmond","-9"
"77141","Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-12T21:17:33Z to 2026-04-12T21:17:33Z - MODERATE/MEDIUM","Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-12T21:17:33Z to 2026-04-12T21:17:33Z","61","Silverstone Developments","85","Silverstone - Newstead","34",,"9",,,"3","","Resolved By Third Party","","","2026-04-12T21:18:33.72","2026-04-12T22:40:03.627","1","Unassigned","1750","Finnegan Richmond","-9"
"77140","Device display name: NLT-PC-GM028TTZ (Chris J) - Memory removed: '_system_', DeviceLocator: 'N/A', Capacity: '16839020544' - CRITICAL/HIGH","Device display name: NLT-PC-GM028TTZ (Chris J)Memory removed: '_system_', DeviceLocator: 'N/A', Capacity: '16839020544'","134","NLT Digital Solutions","180","NLT Digital Solutions - Caboolture","34",,"9",,,"1","","Resolved By Third Party","","","2026-04-12T18:31:58.663","2026-04-12T22:40:02.797","1","Unassigned","705","Chris Jones","-9"
"77139","Memory added: 'Physical Memory 3', DeviceLocator: 'Controller1-ChannelB-DIMM1', Capacity: '8589934592', InstallDate: '2026-04-12T18:31:19Z' - MAJOR/HIGH","Memory added: 'Physical Memory 3', DeviceLocator: 'Controller1-ChannelB-DIMM1', Capacity: '8589934592', InstallDate: '2026-04-12T18:31:19Z'","134","NLT Digital Solutions","180","NLT Digital Solutions - Caboolture","34",,"9",,,"2","","Resolved By Third Party","","","2026-04-12T18:31:58.343","2026-04-12T22:40:02.203","1","Unassigned","705","Chris Jones","-9"
"77138","Memory added: 'Physical Memory 1', DeviceLocator: 'Controller0-ChannelA-DIMM1', Capacity: '8589934592', InstallDate: '2026-04-12T18:31:19Z' - MAJOR/HIGH","Memory added: 'Physical Memory 1', DeviceLocator: 'Controller0-ChannelA-DIMM1', Capacity: '8589934592', InstallDate: '2026-04-12T18:31:19Z'","134","NLT Digital Solutions","180","NLT Digital Solutions - Caboolture","34",,"9",,,"2","","Resolved By Third Party","","","2026-04-12T18:31:58.25","2026-04-12T22:40:01.19","1","Unassigned","705","Chris Jones","-9"
"77137","Device name: LIG-MAILSTORE - Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 20% for 15 minutes Exclude Boot Volume Exclude recovery volume for window device(s) Exclude removable disk for window device(s) - MODERATE/MEDI","Device name: LIG-MAILSTORERunning Script: ActionSet for Condition : Disk Free Space is less than or equal to 20% for 15 minutes Exclude Boot Volume Exclude recovery volume for window device(s) Exclude removable disk for window device(s)","115","Ligentia Australia Pty Ltd","163","Main Office","34",,"9",,,"3","","Resolved By Third Party","","","2026-04-12T17:00:58.607","2026-04-12T17:01:13.19","1","Unassigned","443","General User","-9"
"77136","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-12T17:00:08Z to 2026-04-12T17:00:08Z - MODERATE/MEDIUM","Device name: LIG-MAILSTOREDisk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-12T17:00:08Z to 2026-04-12T17:00:08Z","115","Ligentia Australia Pty Ltd","163","Main Office","34",,"9",,,"3","","Resolved By Third Party","","","2026-04-12T17:00:55.867","2026-04-12T17:25:06.687","1","Unassigned","443","General User","-9"
